station,year,severity,collision,road_type,lat,lng,fatal,crash_id
Banashankari,2017,Damage Only,Not Applicable,Two way,12.928818,77.566189,0,288
Banashankari,2017,Simple Injury,Others,Two way,12.93003,77.567041,0,289
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.934493,77.537523,0,290
Banashankari,2017,Simple Injury,Hit parked vehicle,City or Town Road,12.915678,77.565378,0,291
Banashankari,2017,Simple Injury,Others,Two way,12.9425369,77.5460194,0,292
Banashankari,2017,Grievous Injury,Others,Two way,12.914542,77.562918,0,293
Banashankari,2017,Simple Injury,Others,City or Town Road,12.9193081,77.5691122,0,294
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.916735,77.574036,0,295
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.934717,77.573803,0,296
Banashankari,2017,Damage Only,Not Applicable,City or Town Road,12.921659,77.560385,0,297
Banashankari,2017,Simple Injury,Hit pedestrian,Two way,12.922855,77.570241,0,298
Banashankari,2017,Fatal,Hit and Run,City or Town Road,12.934192,77.54664,1,299
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.9219169,77.5597482,0,300
Banashankari,2017,Damage Only,Hit parked vehicle,Residential Street,12.915397,77.567266,0,301
Banashankari,2017,Simple Injury,Not Applicable,One way,12.925127,77.565751,0,302
Banashankari,2017,Damage Only,Side swipe,Two way,12.937199,77.533969,0,303
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.926903,77.568279,0,304
Banashankari,2017,Simple Injury,Others,Two way,12.930499,77.543528,0,305
Banashankari,2017,Simple Injury,Not Applicable,One way,12.919461,77.543871,0,306
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.927901,77.555802,0,307
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.9292002,77.5701998,0,308
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.930789,77.567015,0,309
Banashankari,2017,Simple Injury,Others,Two way,12.919115,77.56435,0,310
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.921404,77.560333,0,311
